company,product,regular,sale,prime,category,sale_discount,prime_discount,prime_sale_difference,discount_bins,parsed_product
GoodBelly,"Vanilla Chamomile Supershot Oatdrink, 4 bottles",7.29,6.79,6.11,Beverages,0.069,0.162,0.093,10% to 20%,Beverage
Fiji,"Artesian Water 12 Pk, 405.6 fl oz",29.99,28.99,26.09,Beverages,0.033,0.13,0.097,10% to 20%,Beverage
Steaz,"Organic Peach Iced Green Tea, 16 fl oz",1.99,1.5,1.35,Beverages,0.246,0.322,0.076,30% to 40%,Beverage
Peet's Coffee,"Organic Alma De La Tierra Kcup, 4.5 oz",10.99,8.69,7.82,Beverages,0.209,0.288,0.079,20% to 30%,Beverage
Peet's Coffee,"Major Dickason's Blend K-cup, 0.44 oz",10.99,8.69,7.82,Beverages,0.209,0.288,0.079,20% to 30%,Beverage
Liquid IV,"Hydration Box, 4.52 oz",21.49,17.29,15.56,Beverages,0.195,0.276,0.081,20% to 30%,Beverage
Santa Cruz Organic,"Organic Cran Fizz, 25.4 fl oz",4.49,2.67,2.4,Beverages,0.405,0.465,0.06,40% to 50%,Beverage
Steaz,"Zero Calorie Half & Half Green Tea And Lemonade, 16 fl oz",1.89,1.5,1.35,Beverages,0.206,0.286,0.08,20% to 30%,Beverage
Orgain,"Creamy Chocolate Fudge Nutritional Protein Shake, 11 fl oz",2.99,2.5,2.25,Beverages,0.164,0.247,0.083,20% to 30%,Beverage
R.W. Knudsen Family,"Rw Knudsen Simply Nutritious Morning Blend, 32 fl oz",3.79,3.29,2.96,Beverages,0.132,0.219,0.087,20% to 30%,Beverage
Remedy Organics,"Berry Power Beverage, 12 fl oz",4.49,3.99,3.59,Beverages,0.111,0.2,0.089,10% to 20%,Beverage
Orgain,"Organic Creamy Chocolate Protein Shake, 14 fl oz",3.39,3.19,2.87,Beverages,0.059,0.153,0.094,10% to 20%,Beverage
Dr. Bronner's,"Organic Lavender Hand Sanitizing Spray, 2 fl oz",5.29,3.99,3.59,body_care,0.246,0.321,0.075,30% to 40%,Spray
EO,"Organic Lavender Echinacea Hand Sanitizing Spray, 2 fl oz",5.29,4.19,3.77,body_care,0.208,0.287,0.079,20% to 30%,Spray
Everyone,"Ruby Grapefruit Hand Sanitizer Spray, 2 fl oz",2.99,2.39,2.15,body_care,0.201,0.281,0.08,20% to 30%,Spray
EO,"Peppermint & Citrus Hand Sanitizer Spray, 2 fl oz",2.99,2.39,2.15,body_care,0.201,0.281,0.08,20% to 30%,Spray
ALBA BOTANICA,"Deet-free Anti Bug Spray, 4 oz",15.99,12.79,11.51,body_care,0.2,0.28,0.08,20% to 30%,Spray
EO Products,"Coconut Lemon Hand Sanitizer Spray, 2 fl oz",3.29,2.69,2.42,body_care,0.182,0.264,0.082,20% to 30%,Spray
Tom's of Maine,"Unscented Deodorant, 2.25 oz",5.79,4.69,4.22,body_care,0.19,0.271,0.081,20% to 30%,Deodorant
Tom's of Maine,"Lavender Deodorant, 2.25 oz",5.79,4.69,4.22,body_care,0.19,0.271,0.081,20% to 30%,Deodorant
HERBAN COWBOY,"Dry Dusk Spray Deodorant, 2.8 oz",8.49,6.99,6.29,body_care,0.177,0.259,0.082,20% to 30%,Deodorant
HERBAN COWBOY,"Stick Dusk Deodorant, 2.8 oz",8.49,6.99,6.29,body_care,0.177,0.259,0.082,20% to 30%,Deodorant
Jason Natural Products,"Tea Tree Oil Stick Deodorant, 2.5 oz",5.99,4.99,4.49,body_care,0.167,0.25,0.083,20% to 30%,Deodorant
Tom's of Maine,"Northwoods Men's Deodorant, 2.8 oz",6.99,5.89,5.3,body_care,0.157,0.242,0.085,20% to 30%,Deodorant
ALAFFIA,"Coconut Reishi Deodorant, 2.65 oz",6.49,5.49,4.94,body_care,0.154,0.239,0.085,20% to 30%,Deodorant
ALAFFIA,"Lavender Deodorant, 2.65 oz",6.49,5.49,4.94,body_care,0.154,0.239,0.085,20% to 30%,Deodorant
Jason Natural Products,"Soft Rose Dry Spray Deodorant, 3.2 oz",7.99,6.79,6.11,body_care,0.15,0.235,0.085,20% to 30%,Deodorant
