company,product,regular,sale,prime,category,sale_discount,prime_discount,prime_sale_difference,discount_bins,parsed_product
Rao's Homemade,"Penne Alla Vodka, 9 oz",6.99,5.19,4.67,frozen_foods,0.258,0.332,0.074,30% to 40%,Pasta
Cappello's,"Lasagna Sheets Almond Flour Pasta, 9 oz",9.99,8.99,8.09,frozen_foods,0.1,0.19,0.09,10% to 20%,Pasta
Cappello's,"Spaghetti Almond Flour Pasta, 8 oz",9.99,8.99,8.09,frozen_foods,0.1,0.19,0.09,10% to 20%,Pasta
Cappello's,"Gnocchi Almond Flour Pasta, 12 oz",9.99,8.99,8.09,frozen_foods,0.1,0.19,0.09,10% to 20%,Pasta
Cappello's,"Fettuccine Almond Flour Pasta, 9 oz",9.99,8.99,8.09,frozen_foods,0.1,0.19,0.09,10% to 20%,Pasta
Cappello's,"Sweet Potata Gnocchi Almond Flour Pasta, 10.5 oz",9.99,8.99,8.09,frozen_foods,0.1,0.19,0.09,10% to 20%,Pasta
STARLITE,"Original Vegan Soy Taquitos, 14 oz",7.99,4.99,4.49,frozen_foods,0.375,0.438,0.063,40% to 50%,Frozen
Icelandic Provisions,"Extra Creamy Cold Brew Coffee, 4.4 oz",1.99,1.25,1.12,frozen_foods,0.372,0.437,0.065,40% to 50%,Frozen
Cascadian Farm,"Organic Hearty Blend, 12 oz",4.29,3,2.7,frozen_foods,0.301,0.371,0.07,30% to 40%,Frozen
Lucky Foods,"Thai Style Spring Rolls, 8.5 oz",6.99,4.99,4.49,frozen_foods,0.286,0.358,0.072,30% to 40%,Frozen
Cascadian Farm,"Root Vegetable Hashbrowns, 360 gram",4.19,3,2.7,frozen_foods,0.284,0.356,0.072,30% to 40%,Frozen
Rao's Homemade,"Single Serve Meat Lasagna, 9 oz",6.99,5.19,4.67,frozen_foods,0.258,0.332,0.074,30% to 40%,Frozen
RAOS,Meatballs & Sauce,12.99,9.69,8.72,frozen_foods,0.254,0.329,0.075,30% to 40%,Frozen
Cascadian Farm,"Riced Cauliflower Blend, 12 oz",3.99,3,2.7,frozen_foods,0.248,0.323,0.075,30% to 40%,Frozen
Cascadian Farm,"Organic Riced Cauliflower, 12 oz",3.99,3,2.7,frozen_foods,0.248,0.323,0.075,30% to 40%,Frozen
GoodPop,Watermelon Agave 4-Pack,4.99,3.79,3.41,frozen_foods,0.24,0.317,0.077,30% to 40%,Frozen
GoodPop,Strawberry Shortcake 4-Pack,4.99,3.79,3.41,frozen_foods,0.24,0.317,0.077,30% to 40%,Frozen
GoodPop,Orange N' Cream 4-Pack,4.99,3.79,3.41,frozen_foods,0.24,0.317,0.077,30% to 40%,Frozen
GoodPop,Strawberry Lemonade 4-Pack,4.99,3.79,3.41,frozen_foods,0.24,0.317,0.077,30% to 40%,Frozen
Nancy's Fancy,"Meyer Lemon Torrone, 1 pint",7.99,6.19,5.57,frozen_foods,0.225,0.303,0.078,30% to 40%,Frozen
Nancy's Fancy,"Dark Rum Choc Chip Choc Fondente, 1 pint",7.99,6.19,5.57,frozen_foods,0.225,0.303,0.078,30% to 40%,Frozen
Nancy's Fancy,"Salted Caramel Swirl Butterscotch Budino, 1 pint",7.99,6.19,5.57,frozen_foods,0.225,0.303,0.078,30% to 40%,Frozen
Sunshine Plant-Based Foods™,"Ultimate Plant Burger, 10 oz",6.99,5.49,4.94,frozen_foods,0.215,0.293,0.078,20% to 30%,Frozen
Ian's Natural Foods,Gluten Free Fish Sticks,6.99,5.69,5.12,frozen_foods,0.186,0.268,0.082,20% to 30%,Frozen
American Flatbread,"Cheese & Herb Flatbread, 13.8 oz",10.99,8.99,8.09,frozen_foods,0.182,0.264,0.082,20% to 30%,Frozen
GoodPop,Dreamy Orange Push Up 3-Pack,4.79,3.99,3.59,frozen_foods,0.167,0.251,0.084,20% to 30%,Frozen
GoodPop,Dreamy Strawberry Push Up 3-Pack,4.79,3.99,3.59,frozen_foods,0.167,0.251,0.084,20% to 30%,Frozen
Milk Bar,"Cereal Milk Ice Cream, 14 fl oz",5.99,4.99,4.49,frozen_foods,0.167,0.25,0.083,20% to 30%,Frozen
Cascadian Farm,"Organic Chopped Spinach, 10 oz",3.49,3,2.7,frozen_foods,0.14,0.226,0.086,20% to 30%,Frozen
Cascadian Farm,"Organic Broc Florets, 10 oz",3.49,3,2.7,frozen_foods,0.14,0.226,0.086,20% to 30%,Frozen
Cascadian Farm,"Organic Mirepoix, 10 oz",3.49,3,2.7,frozen_foods,0.14,0.226,0.086,20% to 30%,Frozen
GoodPop,"Red, White & Blue 8-Pack",4.99,4.29,3.86,frozen_foods,0.14,0.226,0.086,20% to 30%,Frozen
Cascadian Farm,"Organic Sweet Green Peas, 10 oz",3.49,3,2.7,frozen_foods,0.14,0.226,0.086,20% to 30%,Frozen
Van Leeuwen,"Raspberry Cheesecake Ice Cream Bars, 2.3 fl oz",7.99,6.99,6.29,frozen_foods,0.125,0.213,0.088,20% to 30%,Frozen
Cappello's,"Spinach & Cheese Ravioli, 9.9 oz",9.99,8.99,8.09,frozen_foods,0.1,0.19,0.09,10% to 20%,Frozen
Quorn,"Turk'y Roast, 16 oz",8.99,8.09,7.28,frozen_foods,0.1,0.19,0.09,10% to 20%,Frozen
Cappello's,"Cheese Pizza Almond Flour Crust, 11 oz",9.99,8.99,8.09,frozen_foods,0.1,0.19,0.09,10% to 20%,Frozen
Cappello's,"Uncured Pepperoni Pizza Almond Flour Crust, 12 oz",9.99,8.99,8.09,frozen_foods,0.1,0.19,0.09,10% to 20%,Frozen
Cappello's,"Italian Sausage Pizza Almond Flour Crust, 12 oz",9.99,8.99,8.09,frozen_foods,0.1,0.19,0.09,10% to 20%,Frozen
Cappello's,"White Pizza Almond Flour Crust, 10.85 oz",9.99,8.99,8.09,frozen_foods,0.1,0.19,0.09,10% to 20%,Frozen
Cappello's,"Five Cheese Ravioli Almond Flour Pasta, 9.9 oz",9.99,8.99,8.09,frozen_foods,0.1,0.19,0.09,10% to 20%,Frozen
Cappello's,"Keto Buffalo Ranch with Roasted Cauliflower Pizza, 11 ounce",10.99,9.99,8.99,frozen_foods,0.091,0.182,0.091,10% to 20%,Frozen
Cappello's,"Keto Cheese Pizza, 10.7 ounce",10.99,9.99,8.99,frozen_foods,0.091,0.182,0.091,10% to 20%,Frozen
Rosti,"Stuffed Baked Potato, 10.58 oz",5.99,5.49,4.94,frozen_foods,0.083,0.175,0.092,10% to 20%,Frozen
Rosti,"Three Cheese Crispy Filled Potato, 10.58 oz",5.99,5.49,4.94,frozen_foods,0.083,0.175,0.092,10% to 20%,Frozen
Annie's Homegrown,"Mini Uncured Pepperoni Pizza Bagels, 6.65 oz",4.49,4.19,3.77,frozen_foods,0.067,0.16,0.093,10% to 20%,Frozen
Annie's Homegrown,"Mini Three Cheese Pizza Bagels, 6.65 oz",4.49,4.19,3.77,frozen_foods,0.067,0.16,0.093,10% to 20%,Frozen
Brazi Bites,"Ranch Brazilian Cheese Bread, 11.5 oz",5.99,5.69,5.12,frozen_foods,0.05,0.145,0.095,10% to 20%,Frozen
Brazi Bites,"Gluten-Free Empanadas, Chicken & Cheese, 10oz (Frozen)",5.99,5.69,5.12,frozen_foods,0.05,0.145,0.095,10% to 20%,Frozen
Brazi Bites,"Gluten-Free Empanadas, Black Bean & Cheddar, 10oz (Frozen)",5.99,5.69,5.12,frozen_foods,0.05,0.145,0.095,10% to 20%,Frozen
Annie's Homegrown,"Cheese Pizza Poppers, 6.8 oz",3.29,3.19,2.87,frozen_foods,0.03,0.128,0.098,10% to 20%,Frozen
Annie's Homegrown,"Pepperoni Pizza Poppers, 6.8 oz",3.29,3.19,2.87,frozen_foods,0.03,0.128,0.098,10% to 20%,Frozen
Rao's Homemade,"Meat Lasagna, 27 oz",12.79,9.59,8.63,frozen_foods,0.25,0.325,0.075,30% to 40%,Frozen
Nancy's Fancy,"Coconut Stracciatella With Dark Choc, 1 pint",8.99,6.99,6.29,frozen_foods,0.222,0.3,0.078,20% to 30%,Frozen
Neilly's Foods,"Yucca Fries, 16 oz",5.49,4.49,4.04,frozen_foods,0.182,0.264,0.082,20% to 30%,Frozen
MOMPOPS,Banana Raspberry Mini Pops 6ct,4.19,3.49,3.14,frozen_foods,0.167,0.251,0.084,20% to 30%,Frozen
Dolcezza Gelato,"Gelato Georgia Butter Pecan, 1 pint",6.99,5.99,5.39,frozen_foods,0.143,0.229,0.086,20% to 30%,Frozen
MOMPOPS,"Mini Mango, 6 fl oz",3.99,3.49,3.14,frozen_foods,0.125,0.213,0.088,20% to 30%,Frozen
GoodPop,Cookies N' Cream 4-Pack,4.29,3.99,3.59,frozen_foods,0.07,0.163,0.093,10% to 20%,Frozen
Van Leeuwen,"Cookies & Cream Ice Cream, 14 fl oz",7.29,6.99,6.29,frozen_foods,0.041,0.137,0.096,10% to 20%,Frozen
Van Leeuwen,"Cookies & Cream Caramel Swirl Frozen Dessert, 14 fl oz",7.29,6.99,6.29,frozen_foods,0.041,0.137,0.096,10% to 20%,Frozen
Icelandic Provisions,"Extra Creamy Vanilla Bean, 4.4 oz",1.99,1.25,1.12,frozen_foods,0.372,0.437,0.065,40% to 50%,Yogurt
Icelandic Provisions,"Traditional Vanilla, 5.3 oz",1.99,1.25,1.12,frozen_foods,0.372,0.437,0.065,40% to 50%,Yogurt
Must Love,"Non-Dairy Frozen Dessert, Dipped Bars Banana Chocolate, 12 fl oz",6.69,4.49,4.04,frozen_foods,0.329,0.396,0.067,30% to 40%,Chocolate
Must Love,"Non-Dairy Frozen Dessert, Oat Milk Double Chocolate Chip, 1 pint",5.99,4.49,4.04,frozen_foods,0.25,0.326,0.076,30% to 40%,Chocolate
Must Love,"Non-Dairy Frozen Dessert, Dipped Bars Oat Milk Creamy Chocolate, 12 fl oz",5.99,4.49,4.04,frozen_foods,0.25,0.326,0.076,30% to 40%,Chocolate
Van Leeuwen,"Chocolate Non Dairy Frozen Dessert, 14 fl oz",7.29,6.99,6.29,frozen_foods,0.041,0.137,0.096,10% to 20%,Chocolate
Enviro Products by New Wave,"Premium Shower Filter, 1 each",44.99,32.99,29.69,lifestyle,0.267,0.34,0.073,30% to 40%,Filter
NEW WAVE,"Premium Shower Replacement Filter, 1 each",31.99,25.99,23.39,lifestyle,0.188,0.269,0.081,20% to 30%,Filter
MEAT,St. Louis Style Pork Spare Ribs,6.99,4.99,4.49,meat,0.286,0.358,0.072,30% to 40%,Ribs
Whole Foods Market,Mild Italian Pork Sausage,6.99,4.99,4.49,meat,0.286,0.358,0.072,30% to 40%,Sausage
Whole Foods Market,Sliced Roast Beef,4.99,3.99,3.59,meat,0.2,0.281,0.081,20% to 30%,Beef
Atkins Ranch,Ground Lamb,10.99,9.99,8.99,meat,0.091,0.182,0.091,10% to 20%,Lamb
GREAT RANGE BISON,Fresh Ground Bison,9.99,8.99,8.09,meat,0.1,0.19,0.09,10% to 20%,Bison
MEAT,Beef Top Sirloin Steak,11.99,7.99,7.19,meat,0.334,0.4,0.066,30% to 40%,Steak
duBreton,Ground Pork,6.49,4.49,4.04,meat,0.308,0.378,0.07,30% to 40%,Pork
duBreton,Organic Ground Pork,7.49,5.49,4.94,meat,0.267,0.34,0.073,30% to 40%,Pork
Whole Foods Market,Organic Honey Maple Uncured Ham,5.99,5.49,4.94,meat,0.083,0.175,0.092,10% to 20%,Ham
Whole Foods Market,Organic Uncured Black Forest Ham,5.99,5.49,4.94,meat,0.083,0.175,0.092,10% to 20%,Ham
Fra'Mani,Rosemary Ham,15.99,13.59,12.23,meat,0.15,0.235,0.085,20% to 30%,Ham
Whole Foods Market,Organic Black Pepper Cracked Turkey Breast,5.99,4.99,4.49,meat,0.167,0.25,0.083,20% to 30%,Turkey
Whole Foods Market,Organic Oven Roasted Turkey Breast,5.99,5.49,4.94,meat,0.083,0.175,0.092,10% to 20%,Turkey
Whole Foods Market,Organic Applewood Smoked Turkey Breast,5.99,5.49,4.94,meat,0.083,0.175,0.092,10% to 20%,Turkey
La Quercia,Sliced Prosciutto Americano,8.99,6.99,6.29,meat,0.222,0.3,0.078,20% to 30%,Bacon
La Quercia,Prosciutto Piccante Sliced,9.49,7.49,6.74,meat,0.211,0.29,0.079,20% to 30%,Bacon
Wellshire Farms,Dry Rubbed Applewood Pork Bacon,10.99,8.99,8.09,meat,0.182,0.264,0.082,20% to 30%,Bacon
Wellshire Farms,Dry Rubbed Black Forest Pork Bacon,10.99,8.99,8.09,meat,0.182,0.264,0.082,20% to 30%,Bacon
La Quercia,Sliced Speck Americano,8.99,6.99,6.29,meat,0.222,0.3,0.078,20% to 30%,Bacon
Creminelli,Tartufo Uncured Italian Salami,12.99,10.99,9.89,meat,0.154,0.239,0.085,20% to 30%,Salami
Creminelli,Sopressata Hand-crafted Uncured Italian Salami,10.99,9.49,8.54,meat,0.136,0.223,0.087,20% to 30%,Salami
Creminelli,Fennel Salami,10.99,9.49,8.54,meat,0.136,0.223,0.087,20% to 30%,Salami
Brooklyn Cured,Sliced Smoked Beef Salami,7.99,6.99,6.29,meat,0.125,0.213,0.088,20% to 30%,Salami
Colamecos,Original Uncured Salami,9.49,8.49,7.64,meat,0.105,0.195,0.09,10% to 20%,Salami
Creminelli,Mild Spicy Italian Salami,10.99,9.49,8.54,meat,0.136,0.223,0.087,20% to 30%,Salami
Colamecos,Uncured Genoa Salami,9.49,8.49,7.64,meat,0.105,0.195,0.09,10% to 20%,Salami
MEAT,Boneless Pork Loin Chops,7.99,5.99,5.39,meat,0.25,0.325,0.075,30% to 40%,Meat
Teton Waters Ranch,Original Grass-fed Beef Breakfast Links,4.99,3.99,3.59,meat,0.2,0.281,0.081,20% to 30%,Meat
Wellshire Farms,Colameco's Black Pepper Salame Chub,9.49,8.49,7.64,meat,0.105,0.195,0.09,10% to 20%,Meat
Colamecos,Dried Uncured Chorizo,9.49,8.49,7.64,meat,0.105,0.195,0.09,10% to 20%,Meat
Upton's Naturals,Bar-b-que Jackfruit,4.99,4.49,4.04,meat,0.1,0.19,0.09,10% to 20%,Meat
Bell & Evans,Breaded Parmesan Chicken Meatballs With Mozzarella,6.99,4.99,4.49,meat,0.286,0.358,0.072,30% to 40%,Meat
Pineland Farms,Ground Beef 90% Lean/10% Fat,6.99,5.49,4.94,meat,0.215,0.293,0.078,20% to 30%,Meat
Creminelli,Barolo Salame,13.99,11.99,10.79,meat,0.143,0.229,0.086,20% to 30%,Meat
Colamecos,Uncured Sopressata,9.49,8.49,7.64,meat,0.105,0.195,0.09,10% to 20%,Meat
MARYS CHICKEN,Boneless Skinless Thin-sliced Chicken Breast,7.99,5.99,5.39,meat,0.25,0.325,0.075,30% to 40%,Chicken
Whole Foods Market,Organic Oven Roasted Chicken Breast,5.29,4.49,4.04,meat,0.151,0.236,0.085,20% to 30%,Chicken
Whole Foods Market,Thai Coconut Crusted Chicken Breast Cutlets,6.99,5.99,5.39,meat,0.143,0.229,0.086,20% to 30%,Chicken
Bell & Evans,Thin Boneless Skinless Chicken Breast,7.99,5.99,5.39,meat,0.25,0.325,0.075,30% to 40%,Chicken
Whole Foods Market,Organic Air Chilled Split Chicken Breast,7.99,6.99,6.29,meat,0.125,0.213,0.088,20% to 30%,Chicken
Kite Hill,"Plant Based French Onion Dip, 8 oz",4.99,3.5,3.15,pantry_essentials,0.299,0.369,0.07,30% to 40%,Dip
bionaturæ,"Organic Tomato Paste, 7 oz",2.69,1.99,1.79,pantry_essentials,0.26,0.335,0.075,30% to 40%,Paste
Amore,"Tomato Paste, 4.5 oz",3.49,2.69,2.42,pantry_essentials,0.229,0.307,0.078,30% to 40%,Paste
Arrowhead Mills,"Organic Stone Ground Whole Wheat Flour, 22 oz",3.79,3.39,3.05,pantry_essentials,0.106,0.195,0.089,10% to 20%,Flour
Jovial,"Organic Whole Wheat Einkorn Flour, 32 oz",6.69,5.99,5.39,pantry_essentials,0.105,0.194,0.089,10% to 20%,Flour
Amore,"Italian Garlic Paste, 3.2 oz",4.79,3.69,3.32,pantry_essentials,0.23,0.307,0.077,30% to 40%,Paste
Jovial,"100 % Organic Einkorn All-purpose Flour, 32 oz",6.69,5.99,5.39,pantry_essentials,0.105,0.194,0.089,10% to 20%,Flour
Cascadian Farm,"Organic Berry Vanilla Puffs, 10.25 oz",4.19,2.99,2.69,pantry_essentials,0.286,0.358,0.072,30% to 40%,Puffs
SunButter,"No-sugar Added Sunflower Spread, 16 oz",6.99,5.69,5.12,pantry_essentials,0.186,0.268,0.082,20% to 30%,Spread
bionaturæ,"Organic Wild Berry Fruit Spread, 9 oz",4.39,3.69,3.32,pantry_essentials,0.159,0.244,0.085,20% to 30%,Spread
bionaturæ,"Organic Strawberry Fruit Spread, 9 oz",4.39,3.69,3.32,pantry_essentials,0.159,0.244,0.085,20% to 30%,Spread
bionaturæ,"Organic Apricot Fruit Spread, 9 oz",4.39,3.69,3.32,pantry_essentials,0.159,0.244,0.085,20% to 30%,Spread
Westbrae Natural,"Organic Low Sodium Black Beans, 15 oz",2.49,1.99,1.79,pantry_essentials,0.201,0.281,0.08,20% to 30%,Beans
Westbrae Natural,"Organic Low Sodium Chili Beans, 15 oz",2.49,1.99,1.79,pantry_essentials,0.201,0.281,0.08,20% to 30%,Beans
Westbrae Natural,"Organic Low Sodium Garbanzo Beans, 15 oz",2.49,1.99,1.79,pantry_essentials,0.201,0.281,0.08,20% to 30%,Beans
Lakanto,"Classic Monkfruit Sweetener, 28.22 oz",14.99,12.69,11.42,pantry_essentials,0.153,0.238,0.085,20% to 30%,Sweetener
Lakanto,"Golden Monkfruit Sweetener, 28.22 oz",14.99,12.69,11.42,pantry_essentials,0.153,0.238,0.085,20% to 30%,Sweetener
MODERN PRODUCTS,"Original Spike Seasoning, 3 oz",2.99,2.69,2.42,pantry_essentials,0.1,0.191,0.091,10% to 20%,Seasoning
Lakanto,"Powdered Monk Fruit Sweetener, 16 oz",11.89,11.29,10.16,pantry_essentials,0.05,0.146,0.096,10% to 20%,Sweetener
Lakanto,"Golden Monkfruit Sweetener, 8.29 oz",5.97,4.69,4.22,pantry_essentials,0.214,0.293,0.079,20% to 30%,Sweetener
Lakanto,"Classic Monkfruit Sweetener, 8.29 oz",5.97,4.69,4.22,pantry_essentials,0.214,0.293,0.079,20% to 30%,Sweetener
MODERN PRODUCTS,"Vegit Seasoning, 2 oz",3.19,2.69,2.42,pantry_essentials,0.157,0.241,0.084,20% to 30%,Seasoning
MODERN PRODUCTS,"Spike Instant Seasoning, 7 oz",6.49,5.49,4.94,pantry_essentials,0.154,0.239,0.085,20% to 30%,Seasoning
Sabatino Tartufi,"Truffle Seasoning, 1.76 oz",14.99,13.49,12.14,pantry_essentials,0.1,0.19,0.09,10% to 20%,Seasoning
MODERN PRODUCTS,"Spike Seasoning, 14 oz",10.49,9.79,8.81,pantry_essentials,0.067,0.16,0.093,10% to 20%,Seasoning
Westbrae Natural,"Organic Garbanzo Beans, 25 oz",3.19,2.99,2.69,pantry_essentials,0.063,0.157,0.094,10% to 20%,Beans
Cava,"Spicy Hummus, 8 oz",4.29,2.99,2.69,pantry_essentials,0.303,0.373,0.07,30% to 40%,Hummus
Cava,"Traditional Hummus, 8 oz",4.29,2.99,2.69,pantry_essentials,0.303,0.373,0.07,30% to 40%,Hummus
Jovial,"Brown Rice Lasagna Noodles, 9 oz",4.99,3.79,3.41,pantry_essentials,0.24,0.317,0.077,30% to 40%,Noodles
Lotus Foods,"Organic Brown Rice Pad Thai Noodles, 8 oz",4.39,3.39,3.05,pantry_essentials,0.228,0.305,0.077,30% to 40%,Noodles
Lotus Foods,"Organic Traditional Pho Rice Noodles, 8 oz",4.19,3.39,3.05,pantry_essentials,0.191,0.272,0.081,20% to 30%,Noodles
Lotus Foods,"Organic Brown Udon Rice Noodles, 8 oz",4.19,3.39,3.05,pantry_essentials,0.191,0.272,0.081,20% to 30%,Noodles
Lotus Foods,"Organic Buckwheat And Brown Soba Rice Noodles, 8 oz",4.19,3.39,3.05,pantry_essentials,0.191,0.272,0.081,20% to 30%,Noodles
Divina,"Pitted Kalamata Olives, 6 oz",5.99,4.99,4.49,pantry_essentials,0.167,0.25,0.083,20% to 30%,Olives
Divina,"Pitted Frescatrano Olives, 6 oz",5.99,4.99,4.49,pantry_essentials,0.167,0.25,0.083,20% to 30%,Olives
Divina,"Pitted Castelvetrano Olives, 6 oz",5.99,4.99,4.49,pantry_essentials,0.167,0.25,0.083,20% to 30%,Olives
Divina,"Castelvetrano Olives, 7 oz",5.99,4.99,4.49,pantry_essentials,0.167,0.25,0.083,20% to 30%,Olives
Divina,"Red Pepper Stuffed Green Olives, 7 oz",5.99,4.99,4.49,pantry_essentials,0.167,0.25,0.083,20% to 30%,Olives
Divina,"Garlic Stuffed Mt. Athos Olives, 7 oz",5.99,4.99,4.49,pantry_essentials,0.167,0.25,0.083,20% to 30%,Olives
Local Hive,"Wildflower Raw Honey, 16 oz",7.99,6.99,6.29,pantry_essentials,0.125,0.213,0.088,20% to 30%,Honey
Local Hive,"Clover Raw Honey, 16 oz",7.99,6.99,6.29,pantry_essentials,0.125,0.213,0.088,20% to 30%,Honey
Bragg Live Food Products,"Raw Unfiltered Apple Cider Vinegar With The 'Mother', 16 fl oz",4.29,3.79,3.41,pantry_essentials,0.117,0.205,0.088,20% to 30%,Vinegar
Champagne,"Reserve Wine Vinegar, 12.7 fl oz",6.69,5.99,5.39,pantry_essentials,0.105,0.194,0.089,10% to 20%,Vinegar
Napa Valley Naturals,"Grand Reserve Balsamic Vinegar 25 Stars, 12.7 fl oz",9.29,8.49,7.64,pantry_essentials,0.086,0.178,0.092,10% to 20%,Vinegar
Napa Valley Naturals,"Sherry Reserve Vinegar, 12.7 fl oz",6.69,6.29,5.66,pantry_essentials,0.06,0.154,0.094,10% to 20%,Vinegar
Napa Valley Naturals,"Organic Red Wine Vinegar, 12.7 fl oz",4.39,4.29,3.86,pantry_essentials,0.023,0.121,0.098,10% to 20%,Vinegar
Napa Valley Naturals,"Organic White Wine Vinegar, 12.7 fl oz",4.39,4.29,3.86,pantry_essentials,0.023,0.121,0.098,10% to 20%,Vinegar
Lotus Foods,"Organic White Rice Pad Thai Noodles, 8 oz",4.19,3.39,3.05,pantry_essentials,0.191,0.272,0.081,20% to 30%,Noodles
Local Hive,"So Cal Raw Honey, 16 oz",7.79,6.99,6.29,pantry_essentials,0.103,0.193,0.09,10% to 20%,Honey
Local Hive,"Mid-atlantic Raw Honey, 16 oz",7.99,6.99,6.29,pantry_essentials,0.125,0.213,0.088,20% to 30%,Honey
Local Hive,"Northeast Raw Honey, 16 oz",7.99,6.99,6.29,pantry_essentials,0.125,0.213,0.088,20% to 30%,Honey
Bakery On Main,"Extreme Fruit And Nut Gluten Free Granola, 11 oz",6.99,4.99,4.49,pantry_essentials,0.286,0.358,0.072,30% to 40%,Granola
Bakery On Main,"Cranberry Almond Maple Granola, 11 oz",6.99,4.99,4.49,pantry_essentials,0.286,0.358,0.072,30% to 40%,Granola
Bakery On Main,"Gluten Free Apple Raisin Walnut Granola, 11 oz",6.99,4.99,4.49,pantry_essentials,0.286,0.358,0.072,30% to 40%,Granola
Cascadian Farm,"No Added Sugar Coconut Cashew Granola, 14 oz",3.99,2.99,2.69,pantry_essentials,0.251,0.326,0.075,30% to 40%,Granola
Cascadian Farm,"Organic Cinnamon Apple Granola, 13 oz",3.99,2.99,2.69,pantry_essentials,0.251,0.326,0.075,30% to 40%,Granola
Cascadian Farm,"Organic French Vanilla Almond Granola, 13 oz",3.99,2.99,2.69,pantry_essentials,0.251,0.326,0.075,30% to 40%,Granola
Cascadian Farm,"Organic No Added Sugar Blueberry Vanilla Granola, 15.2 oz",3.99,2.99,2.69,pantry_essentials,0.251,0.326,0.075,30% to 40%,Granola
Fix and Fogg,"Cashew & Maple Almond Butter, 10 oz",9.99,7.99,7.19,pantry_essentials,0.2,0.28,0.08,20% to 30%,Butter
Fix and Fogg,"Everything Butter, 10 oz",7.99,6.49,5.84,pantry_essentials,0.188,0.269,0.081,20% to 30%,Butter
Fix and Fogg,"Oaty Nut Butter, 10 oz",7.99,6.49,5.84,pantry_essentials,0.188,0.269,0.081,20% to 30%,Butter
SunButter,"Natural Sunflower Butter, 16 oz",6.99,5.69,5.12,pantry_essentials,0.186,0.268,0.082,20% to 30%,Butter
SunButter,"Organic Sunflower Butter, 16 oz",8.99,7.49,6.74,pantry_essentials,0.167,0.25,0.083,20% to 30%,Butter
MaraNatha,"Crunchy Almond Butter, 12 oz",10.79,9.69,8.72,pantry_essentials,0.102,0.192,0.09,10% to 20%,Butter
MaraNatha,"Creamy Almond Butter, 12 oz",10.79,9.69,8.72,pantry_essentials,0.102,0.192,0.09,10% to 20%,Butter
MaraNatha,"Organic Creamy Roasted Almond Butter, 12 oz",20.99,18.89,17,pantry_essentials,0.1,0.19,0.09,10% to 20%,Butter
Brekki,"Vanilla Cinnamon Overnight Oats, 5.3 oz",2.99,1.5,1.35,pantry_essentials,0.498,0.548,0.05,50% or more,Oats
Brekki,"Original Overnight Oats, 5.3 oz",2.99,1.5,1.35,pantry_essentials,0.498,0.548,0.05,50% or more,Oats
Cascadian Farm,Organic Oats & Honey Granola,3.99,2.99,2.69,pantry_essentials,0.251,0.326,0.075,30% to 40%,Oats
Nature's Path Organic,"Original Instant Oatmeal, 14 oz",4.29,3.89,3.5,pantry_essentials,0.093,0.184,0.091,10% to 20%,Oats
Whole Foods Market,"Organic Apple Cinnamon Instant Oatmeal, 2.1 oz",2.19,1.99,1.79,pantry_essentials,0.091,0.183,0.092,10% to 20%,Oats
Whole Foods Market,"Organic Triple Berry Instant Oatmeal, 2 oz",2.19,1.99,1.79,pantry_essentials,0.091,0.183,0.092,10% to 20%,Oats
RXBAR,"Apple Cinnamon Oats, 2.18 oz",2.99,2.89,2.6,pantry_essentials,0.033,0.13,0.097,10% to 20%,Oats
Brekki,"Banana And Maple Brown Sugar Overnight Oats, 5.3 oz",2.99,1.25,1.12,pantry_essentials,0.582,0.625,0.043,50% or more,Oats
Brekki,"Strawberry Overnight Oats, 5.3 oz",2.99,1.25,1.12,pantry_essentials,0.582,0.625,0.043,50% or more,Oats
Brekki,"Overnight Oats With Ancient Grains Buleberries, 5.3 oz",2.99,1.25,1.12,pantry_essentials,0.582,0.625,0.043,50% or more,Oats
Banza,"Garlic Olive Oil Chickpea Rice, 7 oz",3.99,2.99,2.69,pantry_essentials,0.251,0.326,0.075,30% to 40%,Rice
Banza,"Chickpea Rice, 8 oz",3.99,2.99,2.69,pantry_essentials,0.251,0.326,0.075,30% to 40%,Rice
Lotus Foods,"Organic Jade Pearl Rice, 15 oz",5.29,4.19,3.77,pantry_essentials,0.208,0.287,0.079,20% to 30%,Rice
Lotus Foods,"Organic Black Forbidden Rice, 15 oz",5.29,4.19,3.77,pantry_essentials,0.208,0.287,0.079,20% to 30%,Rice
Lotus Foods,"Organic Bhutanese Red Rice, 15 oz",5.29,4.19,3.77,pantry_essentials,0.208,0.287,0.079,20% to 30%,Rice
Lotus Foods,Organic Brown Jasmine Rice (30 oz),7.69,6.29,5.66,pantry_essentials,0.182,0.264,0.082,20% to 30%,Rice
Lotus Foods,"Organic Brown Basmati Rice, 30 oz",7.69,6.29,5.66,pantry_essentials,0.182,0.264,0.082,20% to 30%,Rice
Lotus Foods,"Organic White Jasmine Rice, 30 oz",7.69,6.29,5.66,pantry_essentials,0.182,0.264,0.082,20% to 30%,Rice
Lotus Foods,Organic Dehraduni Basmati Rice (30 oz),7.69,6.29,5.66,pantry_essentials,0.182,0.264,0.082,20% to 30%,Rice
TASTYBITE,"Organic Turmeric Rice, 8.8 oz",2.79,2.49,2.24,pantry_essentials,0.108,0.197,0.089,10% to 20%,Rice
Tasty Bite,"Organic Brown Rice, 8.8 oz",2.79,2.5,2.25,pantry_essentials,0.104,0.194,0.09,10% to 20%,Rice
