,company,product,regular,sale,prime,sale_discount,prime_discount,prime_sale_difference,discount_bins,parsed_product
1715,DRY Botanical Bubbly,Dry Sparkling Blood Orange Soda,5.69,3.37,3.03,0.40773286467486825,0.4674868189806679,0.05975395430579966,25% to 50%,Soda
1774,Solely,Organic Pineapple Coconut Fruit Jerky Drizzled With Cacao,1.69,1.0,0.9,0.40828402366863903,0.4674556213017751,0.059171597633136064,25% to 50%,Jerky
2050,Solely,Organic Spicy Pineapple Fruit Jerky With Chili & Salt,1.69,1.0,0.9,0.40828402366863903,0.4674556213017751,0.059171597633136064,25% to 50%,Jerky
1541,Solely,Fruit Jerky Pineapple With Coconut,1.69,1.0,0.9,0.40828402366863903,0.4674556213017751,0.059171597633136064,25% to 50%,Pineapple
1535,Solely,Organic Mango Fruit Jerky Drizzled With Cacao,1.69,1.0,0.9,0.40828402366863903,0.4674556213017751,0.059171597633136064,25% to 50%,Jerky
807,Solely,Fruit Jerky Mango,1.69,1.0,0.9,0.40828402366863903,0.4674556213017751,0.059171597633136064,25% to 50%,Mango
1235,Solely,Organic Pineapple Fruit Jerky,1.69,1.0,0.9,0.40828402366863903,0.4674556213017751,0.059171597633136064,25% to 50%,Jerky
1741,Solely,Organic 100% Cacao Dried Pineaple Fruit Jerky,1.69,1.0,0.9,0.40828402366863903,0.4674556213017751,0.059171597633136064,25% to 50%,Jerky
1575,Solely,Organic Spicy Mango Fruit Jerky With Chili & Salt,1.69,1.0,0.9,0.40828402366863903,0.4674556213017751,0.059171597633136064,25% to 50%,Jerky
1473,Solely,Fruit Jerky Banana With Cacao,1.69,1.0,0.9,0.40828402366863903,0.4674556213017751,0.059171597633136064,25% to 50%,Banana
1072,Whole Foods Market,"Limited Edition Organic Stuffing Mix, Multigrain",3.49,2.07,1.86,0.40687679083094563,0.46704871060171915,0.06017191977077352,25% to 50%,Mix
1732,LesserEvil,White Chocolate Matcha Popcorn,3.99,2.37,2.13,0.40601503759398494,0.46616541353383467,0.06015037593984973,25% to 50%,Popcorn
1399,LesserEvil,Dark Chocolate + Himalayan Pink Salt,3.99,2.37,2.13,0.40601503759398494,0.46616541353383467,0.06015037593984973,25% to 50%,Chocolate
1018,Whole Foods Market,"Limited Edition Sandwich Cremes Cookies, Chocolate Candy Cane",3.99,2.37,2.13,0.40601503759398494,0.46616541353383467,0.06015037593984973,25% to 50%,Cookies
1944,Celestial Seasonings,Candy Cane Lane Green Tea,3.99,2.37,2.13,0.40601503759398494,0.46616541353383467,0.06015037593984973,25% to 50%,Tea
1905,Celestial Seasonings,Gingerbread Spice Herbal Tea,3.99,2.37,2.13,0.40601503759398494,0.46616541353383467,0.06015037593984973,25% to 50%,Tea
1821,Whole Foods Market,Organic Brown Gravy Packet,1.29,0.77,0.69,0.4031007751937985,0.4651162790697675,0.06201550387596899,25% to 50%,Packet
1400,Whole Foods Market,Dark Chocolate Caramel Sea Salt Sandwich Cremes,4.99,2.97,2.67,0.4048096192384769,0.4649298597194389,0.060120240480961984,25% to 50%,Cremes
1772,Milk Bar,Candy Cane Cornflake Chocolate Chip,4.99,2.97,2.67,0.4048096192384769,0.4649298597194389,0.060120240480961984,25% to 50%,Chip
1325,Siete Family Foods,Grain Free Mini Bunuelos Cinnamon Crisps,4.99,2.97,2.67,0.4048096192384769,0.4649298597194389,0.060120240480961984,25% to 50%,Crisps
1371,Whole Foods Market,S'mores Bites,4.99,2.97,2.67,0.4048096192384769,0.4649298597194389,0.060120240480961984,25% to 50%,Bites
1942,Mrs. Meyer's Clean Day,Orange Clove Room Freshener,5.99,3.57,3.21,0.40400667779632726,0.4641068447412354,0.06010016694490816,25% to 50%,Freshener
1797,Milk Bar,Gingerbread House Ice Cream,5.99,3.57,3.21,0.40400667779632726,0.4641068447412354,0.06010016694490816,25% to 50%,Cream
1939,Ball,Aluminum Cups,5.99,3.57,3.21,0.40400667779632726,0.4641068447412354,0.06010016694490816,25% to 50%,Cups
1783,Milk Bar,Candy Cane Chocolate Chip Cornflake,5.99,3.57,3.21,0.40400667779632726,0.4641068447412354,0.06010016694490816,25% to 50%,Cornflake
1144,Q Mixers,Tonic Water,6.99,4.17,3.75,0.40343347639484983,0.46351931330472107,0.06008583690987124,25% to 50%,Water
902,Q Mixers,Ginger Beer,6.99,4.17,3.75,0.40343347639484983,0.46351931330472107,0.06008583690987124,25% to 50%,Beer
1150,Whole Foods Market,Plant Based Roasts With Gracy & Mushroom Stuffing,6.99,4.17,3.75,0.40343347639484983,0.46351931330472107,0.06008583690987124,25% to 50%,Stuffing
2010,Savorly,Mini Pies 12 Count,7.99,4.77,4.29,0.4030037546933668,0.4630788485607009,0.06007509386733412,25% to 50%,Pies
1633,Savorly,Mini Tarts 12 Count,7.99,4.77,4.29,0.4030037546933668,0.4630788485607009,0.06007509386733412,25% to 50%,Tarts
1006,Whole Foods Market,"Limited Edition Organic Seasoning, Brine & Seasoning Kit",7.99,4.77,4.29,0.4030037546933668,0.4630788485607009,0.06007509386733412,25% to 50%,Edition
773,Whole Foods Market,Holiday Plant-Based Roast,11.99,7.17,6.45,0.4020016680567139,0.4620517097581318,0.06005004170141792,25% to 50%,Roast
1522,Whole Foods Market,"Limited Edition Trail Mix Party Tray, Nibbler's Delight",12.99,7.77,6.99,0.4018475750577367,0.4618937644341802,0.06004618937644346,25% to 50%,Tray
1539,Counter Culture Coffee,Whole Bean Coffee Iridescent Holiday Coffee,13.99,8.37,7.53,0.40171551107934245,0.46175839885632597,0.06004288777698352,25% to 50%,Coffee
1866,Mrs. Meyer's Clean Day,Orange Clove Liquid Dish Soap,4.79,2.87,2.58,0.40083507306889354,0.4613778705636743,0.06054279749478075,25% to 50%,Soap
1836,Mrs. Meyer's Clean Day,Iowa Pine Liquid Dish Soap,4.79,2.87,2.58,0.40083507306889354,0.4613778705636743,0.06054279749478075,25% to 50%,Soap
1432,Whole Foods Market,Hot Cocoa Flavored Caramel Popcorn Mix,5.29,3.17,2.85,0.40075614366729684,0.46124763705103966,0.06049149338374282,25% to 50%,Mix
953,Martinelli's,Organic Sparkling Apple-grape,5.79,3.47,3.12,0.40069084628670115,0.46113989637305697,0.060449050086355816,25% to 50%,grape
690,Nature's Path Organic,Sunrise Crunchy Honey Cereal,4.99,2.99,2.69,0.4008016032064128,0.46092184368737477,0.060120240480961984,25% to 50%,Cereal
896,Nature's Path Organic,Smart Bran Cereal,4.99,2.99,2.69,0.4008016032064128,0.46092184368737477,0.060120240480961984,25% to 50%,Cereal
668,Nature's Path Organic,Golden Turmeric Cereal,4.99,2.99,2.69,0.4008016032064128,0.46092184368737477,0.060120240480961984,25% to 50%,Cereal
1395,Hervé Mons,Mary Dans Les Etoiles,12.99,7.79,7.01,0.40030792917628943,0.4603541185527329,0.06004618937644346,25% to 50%,Etoiles
700,LesserEvil,Power Curls Fiery Hot,4.99,3.0,2.7,0.3987975951903808,0.4589178356713427,0.06012024048096187,25% to 50%,Hot
444,LesserEvil,Power Curls Himalayan Pink Salt,4.99,3.0,2.7,0.3987975951903808,0.4589178356713427,0.06012024048096187,25% to 50%,Salt
504,LesserEvil,"Power Curls ""No Cheese"" Cheesiness",4.99,3.0,2.7,0.3987975951903808,0.4589178356713427,0.06012024048096187,25% to 50%,Cheesiness
